en	ar
The weather is the last truly wild thing on Earth.	الطقس آخر شيء برّي حقاً على الأرضِ.
We can't predict it and we can't control it.	نحن لا نَستطيعُ تَوَقُّعه ونحن لا نَستطيعُ السَيْطَرَة عليه.
I'm Donal Maclntyre, and I'm going to journey around the world to seek out the wildest weather there is.	أَنا دونال ماكلنتاير , وسَأُسافرُ حول العالمِ للبَحْث عن الطقسِ الأكثر وحشيةً هناك.
In this series, I'm going to experience the fastest winds on Earth.	في هذه السلسلةِ، سَأُواجهُ الرياح الأسرع على الأرضِ.
136 miles an hour.	مائة و ستة وثلاثون ميل في السّاعة.
The awesome cycle of water around the planet.	الدورة الرهيبة للماءِ حول الكوكبِ.
I've been for...	أنا كُنْتُ ل...
I can't talk!	أنالا أَستطيعُالكَلام!
I'm going to take a ride into the cold heart of winter.	سَآخذُ جولة إلى القلبِ الباردِ للشتاءِ.
An adventure, I agree, but it gives you a once-in-a-lifetime view of the top of the wo-o-o-rld!	مغامرة، أُوافقُ , لَكنَّه يَعطيك وجهة نظر مرة في العمر قمةِ العــــــــــــــــالم!
I'll experience the dark side of summer.	أنا سَأُواجهُ الجانب المُظلم للصيفِ.
There's 1.5 million volts hitting my finger right now.	هناك 1.5 مليون فولت يَضْربُ إصبعَي الآن.
I'm going to get blasted... roasted... soaked and frozen because I want to understand how weather works, the awesome forces that drive it... and how it affects us all.	سَأُصبحُ آدانَ... مُحَمَّص... منَقوعَ و مجمّدَ
I'll meet those who survived the worst it gets and try to understand why the weather is changing... and what that means for the future.	أنا سَأُقابلُ أولئك الذين نَجوا من أسوأ ما حصل ومحاولة لفَهْم لماذا الطقس يَتغيّرُ... و ماذا يعني ذلك للمستقبلِ.
It's going to be the ride of a lifetime.	هو سَيصْبَحُ جولةَ العمر.
This is..."Wild Weather"!	هذا... " الطقسالقاس"!
Our Earth is vast - 24,500 miles around - but all our weather takes place within this thin blue streak.	أرضنا واسعةُ - حوالي أربعة وعشرون الف وخمسمائة أميال - لكن كُلّ طقسنا يَحْدثُ ضمن هذا الشريطِ الأزرقِ الرقيقِ.
And it's through that thin blue streak that I'm about to go, to the very top of the weather.	وهو خلال ذلك يُخفّفُ شريطاً أزرقاً بِأَنِّي أَوْشَكْتُ أَنْ أَذْهبَ إلى القمةِ ذاتهاِ مِنْ الطقسِ.
Donal hi.	دونال مرحباً.
Even in a jet, it takes a day to circle the earth, but I can fly through the weather in just a few minutes if I go straight up.	حتى في طائرة , يَأْخذُ يوم لإحاطة الأرضِ , لَكنِّي يُمْكِنُ أَنْ أَطِيرَ خلال الطقسِ في دقائق قليلة فقط إذا أَذْهبُ إلى أعلى.
D316 Bravo.	دي ثلاثمائة و ستة عشر برافو.
Pilot Two cleared for take-off.	يَقُودُه إثنان جاهز للإقلاعِ.
Right around here, about a mile or so up, is where the rain clouds start.	هنا، على ارتفاع ميل أَو أكثر , حيث غيوم المطرُ بدأت تغطّي .
This is where it all comes from.	هذا حيث كُلّ ما يَجيءُ مِنْه.
For the next few miles, all those billions of gallons float in the clouds waiting to turn into rain.	لبضعة الأميالِ القادمةِ ، كُلّ تلك بلايين الغالوناتِ في الغيومِ تنتظر للتَحَوُّل إلى المطرِ.
But thankfully they don't go on for ever.	لكن شكراً هم لا يَستمرّونَ إلى الأبد.
So if you want a bit of sunshine, all you do is this.	إذن لو أردت قليلاً مِنْ شروقِ الشمس , كُلّ ماعليك فعله هو هذا.
For every mile we climb, the air cools by 17 degrees Celsius.	لكُلّ ميل نَرتفعُه , يُبرّدُ الهواءَ ب17 درجةِ مئويةِ.
From here, at about five miles, you can look down on a thunderstorm, look into the eye of a hurricane, or even hitch a ride with the jet stream, the fastest wind on Earth.	مِنْ هنا، في حوالي خمسة أميالِ , أنت يُمْكِنُ أَنْ تَنْظرَ نظرة استصغار إلى عاصفة رعديّة , ننْظرُ في عينِ إعصار , أَو عقبة مستوية جولة بالجدولِ النفّاثِ , الريح الأسرع على الأرضِ.
And this is it - six and a half miles up.	وهذا هو - ستّة و نِصْف الأميالِ فوق.
The weather stops here.	يَتوقّفُ الطقسَ هنا.
Up this high, the air stops cooling and remains a constant minus 50 degrees Celsius.	فوق هذا المستوى العالي، التوقّفات الجوية تُبرّدُ وبقايا الثبات ناقص 50 درجة مئوية.
All the moisture in the air has dried out.	كُلّ الرطوبة في الهواءِ جفّفتْ.
This freezing layer of dry air is called the tropopause.	هذه الطبقةِ المُجَمِّدةِ للهواءِ الجافِ تُدْعَى ترابيبوز.
It acts as a lid, trapping all our weather below.	يَفْعلُ كغطاء , يَحْصرُ كُلّ طقسنا تحت.
Way above, you enter the stratosphere, an almost completely weather-free zone.	الطريق لفوق، تَدْخلُ طبقةَ الستراتوسفير , يَتجاوزُ منطقة حرّةَ تقريباً بالكامل.
And beyond it, space.	وخلفه، فضاء.
It's amazing to think that below me is every kind of weather imaginable.	هذا مُدهِشُ لإعتِقاد الذي تحتي كُلّ نوع للطقسِ قابل للتخيلِ.
We'll start the series by taking a journey with the winds.	نحن سَنَبْدأُ السلسلةَ بأَخْذ الرحلة بالرياحِ.
In the next hour, I'm going to experience everything from a breeze to the fury of a tornado.	في الساعة التالية , سَأُواجهُ كُلّ شيءَ مِنْ نسيم إلى غضبِ الإعصار.
In just a few heart-stopping moments,	في فقط بضعة لحظات مميتة ,
I'm going to be back down there to see how it all begins.	سَأَتراجعُ هناك لرُؤية كيف هو ّ يَبْدأُ.
Take it away, Barry!	انطلق، باري!
Wooh!	وووووه!
Having shot to the top of the weather, I thought I'd take the easy way down.	بَعْدَ أَنْ انطلقت إلى قمةِ الطقسِ , إعتقدتُ بأنّني أُنزلُ الطريق السهل.
Below me is the equator and the start of my journey with wind.	تحتي خطُ الإستواء وبداية رحلتِي بالريحِ.
And this... is where it all begins.	وهذا... حيثهو يَبْدأُ.
This is where the wind is actually born.	هذه حيث الريحُ ولدتُ في الحقيقة.
It's hot - damned hot.	هو حارُ - حار مَلْعُون.
And what's really strange is there's no wind.	والغريبُ جداً ليس هناك ريح.
And that's because this... is the doldrums.	وذلك لأن هذا... الكسادُ.
So how is it that there are no winds where the winds are born?	لذا كيف هي بأنه ليس هناك رياح حيث الرياح ولدت؟
The doldrums are basically a narrow strip of complete calm, five to ten degrees either side of the equator.	الكساد أساساً شريط ضيّق مِنْ الهدوءِ الكاملِ , خمسة إلى عشْرة درجاتِ أي من جانبي خط الإستواء.
The intense energy of the sun heats the air, which rises in huge columns, sucking in powerful surface winds from north and south.	الطاقة الحادّة للشمسِ تُسخّنُ الهواءَ , الذي يَرتفعُ في الأعمدةِ الضخمةِ , مصّ في الرياحِ السطحيّةِ القويَّةِ مِنْ الشمالِ والجنوبِ.
The only movement of air is up, so the areas underneath remain calm and windless.	الحركة الوحيدة للهواءِ فوق , لذا المناطق تحت تبْقى في حالة هدوء وساكنة.
This rising air is the first movement of a massive global wind cycle which will take it right across the world.	هذا الهواءِ المتصاعدِ الحركةُ الأولى لدورة ريحِ عالميةِ هائلةِ الذي سَيَأْخذُه في كافة أنحاء العالم.
