de	en
- Gloucester? ! - Die sollten doch in Serfam sein.	They should have surrendered when they had the chance!
Das sind nur Ubergroﬁe Knightmares!	What?
Es wére besser ihr kapituliert schleunigst!	Cornelia...
Cornelia hat mit nur einer Maschine ...? !	So this means that the creatures of Area 18 have fallen, right?
Damit ist die Einnahme von Area 18 abgeschlossen.	Sorry, I'll have you accompany me in finishing it. No need. Your section has been secured.
Wegen unserem néchsten Einsatz Tut mir leid, dass ihr hinter meinem kleinen Bruder herréumen musst.	Area 11 will be difficult to handle.
Wir sind dazu da, um euch zu dienen. Mit Area 11 wird es nicht so leicht werden.	I will find you, Zero... to avenge Clovis!
Willkommen, Lelouchl	Welcome home, Lelouch.
Willkommen daheim, Bruder.	Welcome home, brother.
Wie es aussieht, hast du schon auswarts gegessen.	From the looks of it, you've already ate dinner.
Ich hab mir so Sorgen gemacht.	I was worried.
Ich hatte Angst, du warst in den Aufruhr dieses Zero geraten.	I thought that you might have been caught up in the chaos that person named Zero caused.
Du warst ja nicht mal auf deinem Handy erreichbar.	I called you, but I couldn't reach you.
WeiBt du was?	Brother?
CC-san war so nett, uns zu besuchen.	C.C.-san came all the way here to see you...
CC?	C.C.?
Du hast ja eine komische Freundin. Allein schon ihr Name	Your friend is quite interesting, having only initials for a name.
Ist sie eigentlich deine feste Freundin?	Yeah... Could it be... that she's your girlfriend?
Es gibt da ein Versprechen zwischen uns. Stimmt's? Oh	Our futures are intertwined with one another, right?
Ihr habt euch versprochen zu heiraten? Nein!	By future, do you mean marriage?
Wir werden ganz bestimmt nicht heiraten!	No, it's not like that.
Sie macht manchmal - seltsame Scherze. - Tu ich nicht.	So, um... she's kidding...
Fur eine Hochzeit warst du ja wirklich aufﬁergewohnlich fruh dran.	I see. I'm surprised at how quickly you decided, brother.
Aber jeder sieht das anders. Also ist es nicht weiter komisch.	But they say, "To each his own", so it may not be that strange, I suppose.
Oh Wie ungeschickt, CC. Du bist ganz nass geworden.	Ah, what are you doing C.C.?
Komm!	You're all wet.
Wir gehen ins Bad.	Here, you need to go to the bathroom.
Ich geb dir was zum Umziehen.	I'll get you a change of clothes too.
Bleib wo du bist, Nunnally, ich raume das gleich auf!	Nanali, I'll clean it up right away, so stay right there.
Und das vorhin war nur eine Luge. Quatsch, einfach nur ein Scherz!	Also, we were lying before...
Hab ich doch gesagt. Ich bin CC.	I told you.
Ganz bestimmt nicht.	I'm C.C.
Du bist doch eigentlich tot?	That's not what I mean. You're...
Gefallt sie dir?	Do you like it?
Die Kraft, die ich dir gegeben habe?	The power I gave you.
Das warst also wirklich du?	As I thought, you're...
Unzufrieden? Nein, ich bin dir sehr dankbar.	Are you unsatisfied?
Damit kann ich meine Plane viel schneller verwirklichen.	No, I'm grateful. You pushed my schedule forward a great deal.
Deine Plane?	Schedule?
Ich habe vor, Britannia zu vernichten.	The plan to destroy Britannia.
Dank dir kann ich damit viel fruher anfangen, als erhofft.	I thought that it would be a little while longer before I could make my move.
Glaubst du, du schaffst das? Allein durch diese Kraft?	Do you think you can destroy it with just that power?
Ich hatte es auch ohne sie versucht.	I was planning to do this even without it.
Wie ich es mir dachte, du bist ein sehr interessanter Mann.	As expected, you're an interesting person.
Und was hast du jetzt vor?	What are you going to do from now on?
Die Armee sucht dich doch sicher.	You're being pursued by the military, aren't you?
Ja, aber nur ein winzig kleiner Teil der Armee.	Even if you say the military, it's only a small portion of it.
Es sollte reichen, wenn ich mich ein bisschen verstecke.	It's enough if I just keep a low profile.
Und nun sei bitte so nett He!	I'll put up with it here.
Willst du hier ubernachten?	Hey, you're planning on staying here?
Jungs schlafen ab sofort auf dem Boden. Ganz bestimmt nicht!	Men sleep on the floor.
Wenn sie mich kriegen, steckst du auch in Schwierigkeiten.	That's not the point... If I get caught, you'll have problems too, won't you?
Zusammen ist es noch gefahrlicher.	Being together is even more dangerous.
Ubernachte ich drauBen, kriegen sie mich. Das lauft hier nicht, wie du willst,	If I sleep out there, I will be caught.
- sondern wie ich will! - Jetzt hab ich aber die Nase voll!	Not at your convenience, but at mi-
Du bist ganz schon abgebruht.	You're being very careless about this.
Aber was hat dir das nun gebracht?	More importantly, how did you survive?
Ein starkeres Ruckgrat?	How is your backbone?
- Und was ist mit unserem Vertrag? - Gute Nacht, Lelouch!	And that contract you were talking about...
Fukushima, Kochi, Hiroshima	Fukushima, Kouchi, Hiroshima.
Das sind schon sieben Anschlage, seit dieser Zero aufgetaucht ist.	This makes it seven incidences since Zero appeared.
Sieht mir eher danach aus, als hatten andere Gruppen Zero imitiert.	After Zero appeared, other groups apparently became more hard-working.
Der stellvertretende Regierende Jeremiah hat wegen des Orange-Vorfalls seine Autoritat verloren.	Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
Das ist keine Entschuldigung.	He doesn't have the ability to do it.
Die Zusammenarbeit zwischen Polizei und Verwaltung ist schlecht.	Thanks to that, the cooperation with the police and unions are in shambles.
Und damit stecken auch wir in diesem Dilemma.	It's quite an inconvenience for us as well.
Du musst uns helfen Tohdoh!	Lend us your strength, Toudou!
Durch Zero wird Britannia ins Chaos gestiirzt.	Thanks to Zero, Britannia is in a state of confusion!
Wir als japanische Befreiungsfront mussen nun auch aktiv werden! Nur die Ruhe!	Now is the time that we, the Japan Liberation Front, should make a stand!
Kyoto hat noch nicht bestatigt, Zero mit Guren Mk.II zu unterstiitzen.	Don't rush it! The information that Kyoto is giving the Crimson Brocade to Zero is not definitive.
Eine Fokussierung auf Zero konnte ein Problem fur uns werden.	If you concentrate on Zero too much, they will pull the rug out from under you!
Sag mal, was hatte dieses "Orange" eigentlich zu bedeuten?	Hey, in the end, what did "orange" mean?
Du beantwortest anderer Leute Fragen nicht, willst aber mir welche stellen?	What? You won't answer anyone's questions at all, but you'll ask me questions, huh?
Wenn du nicht antworten willst, dann l'asst du es eben. Genauso wie ich.	If you don't want to answer me, then you don't have to.
Es war ein Versuch auf gut Gluck.	"Orange" was just a casual remark.
Selbst Menschen, die gute Freunde sind, kann man durch einen Zweifel ganz einfach auseinander bringen.	But... There are those who will want it to mean something and will start to analyze it.
Die ganze Welt sucht nach dir.	The entire world is searching for you.
Wegen dir ist die Welt in Bewegung geraten.	The entire world is moving because of you.
Sag mir, Lelouch, ist es das, was du wolltest? Nein.	Lelouch, is this what you wanted to see?
Dieser Aufruhr ist nur das eine.	No, this disturbance is merely part of the calculation.
Ich habe vor, noch viel grt'l3eren Aufruhr zu verursachen.	The world will plunge into an even greater chaos.
Private Suzaku Kururugi. Fall Nummer 107, Militéirgebiet Area 11. Sie werden vom Verdacht des Mordes an Seiner Hoheit Prinz Clovis aus Mangel an Beweisen freigesprochen.	Private Kururugi Suzaku of the district 11 military, case 1075, concerning the suspicion of Prince Clovis' murder.
Warum? Auf einmal?	Why... all of a sudden?
Weg da! Achtung!	Please get out of the way!
!	Look out!
Du hast dich doch nicht verletzt? Tut mir leid!	Um... are you injured, or something?
Ich dachte nicht, dass hier unten jemand ist!	I'm sorry! I didn't think there would be anyone below.
Oh Also...	Oh... no...
Ich dachte auch nicht, dass von oben plotzlich eine Frau angeflogen kommt. Na so was?	I didn't think that a girl would be falling from above either.
Was denn?	Is... something wrong?
So wird es gehen!	Yes!
Ehrlich gesagt, ich werde von bosen Leuten verfolgt.	Eh? To tell you the truth, I'm being chased by bad people.
Kannst du mir nicht vielleicht helfen?	So, can you please help me?
Der Dienstantritt Ihrer Hoheit Cornelia darf nicht durch diese Orange-Sache gestort werden!	We cannot allow that "orange" to affect Princess Cornelia's arrival.
Wenn wir nichts unternehmen, wird man uns Reinbliiter verdachtigen. Stimmt das denn wirklich?	At this rate, the loyalty of us, the Purists, will be questioned.
Dass Sir Jeremiah bestochen wurde?	Is that true?
Was soll "Orange" denn sonst bedeuten?	That Sir Jeremiah is wild...
Aufjeden Fall hat Jeremiah wegen irgendwas ein schlechtes Gewissen. Er behauptet, er erinnert sich nicht.	At any rate, it's a fact that Sir Jeremiah is guilty.
Genauso wie Bartley	Saying that he does not remember anything... it's the same excuse as Patre!
